ID_MUNICIPIO,NOME_MUNICIPIO,CODIGO_INFRACAO,DESCRICAO_INFRACAO,UF_PLACA_VEICULO,TIPO_VEICULO,CATEGORIA_VEICULO,QTDE,MES,ANO
7107,SAO PAULO,6920-1,"Deixar de efetuar registro do veiculo em 30 dias, qdo for transf a propriedade",SP,S. REBOQUE,PARTICULAR,355,11,2025
7107,SAO PAULO,7099-1,CONDUZIR MOTOCICLETA/MOTONETA/CICLOMOTOR SEM SEGURAR O GUIDOM COM AMBAS AS MAOS,SP,MOTOCICLO,PARTICULAR,60,11,2025
7089,SAO JOAQUIM DA BARRA,7579-0,"REC SUB TEST, EX CLIN, PERIC OU PROC Q PERM CERT INFL ALC/SUB PSIC FOR ART. 277",SP,MOTONETA,PARTICULAR,1,11,2025
6329,CERQUEIRA CESAR,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,MOTOCICLO,PARTICULAR,6,11,2025
7029,SANTA CRUZ DO RIO PARDO,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",Outras UFs,MOTOCICLO,PARTICULAR,2,11,2025
6619,JUNDIAI,5053-1,DIRIGIR VEICULO SEM USAR LENTES CORRETORAS DE VISAO,SP,MOTOCICLO,PARTICULAR,1,11,2025
6857,PIEDADE,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,MOTOCICLO,PARTICULAR,14,11,2025
7107,SAO PAULO,5720-0,TRANSITAR PELA CONTRAMAO DE DIRECAO EM VIA COM DUPLO SENTIDO DE CIRCULACAO,SP,MOTONETA,PARTICULAR,18,11,2025
6313,CARAPICUIBA,7633-1,Dirigir veiculo segurando telefone celular,SP,AUTOMOVEL,PARTICULAR,27,11,2025
6493,IBITINGA,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,CAMINHONET,PARTICULAR,2,11,2025
7157,TABOAO DA SERRA,7617-3,"USAR QQ VEICULO PARA, DELIB, PERTURBAR CIRCULACAO NA VIA SEM AUT DO ORGAO",SP,MOTOCICLO,PARTICULAR,4,11,2025
6131,AMERICANA,5029-1,Dirigir veiculo com CNH/PPD/ACC cassada,SP,MOTOCICLO,PARTICULAR,2,11,2025
6671,MAIRIPORA,7030-1,Conduzir motoc/moton/ciclom s/ capacete de seguranca,SP,MOTOCICLO,PARTICULAR,2,11,2025
6913,PORTO FELIZ,7579-0,"REC SUB TEST, EX CLIN, PERIC OU PROC Q PERM CERT INFL ALC/SUB PSIC FOR ART. 277",SP,AUTOMOVEL,PARTICULAR,2,11,2025
7121,SAO VICENTE,6726-1,"CONDUZIR O VEICULO EM MAU ESTADO DE CONSERVACAO, COMPROMETENDO A SEGURANCA",SP,MOTOCICLO,PARTICULAR,21,11,2025
6567,ITARIRI,5576-0,PARAR NAS ESQUINAS E A MENOS 5M DO BORDO DO ALINHAMENTO DA VIA TRANSVERSAL,SP,CAMINHONET,PARTICULAR,1,11,2025
6853,PERUIBE,6599-2,CONDUZIR O VEICULO REGISTRADO QUE NAO ESTEJA DEVIDAMENTE LICENCIADO,SP,MOTOCICLO,PARTICULAR,9,11,2025
6597,JALES,5029-1,Dirigir veiculo com CNH/PPD/ACC cassada,SP,MOTONETA,PARTICULAR,1,11,2025
6209,BARRETOS,5061-0,ENTREGAR VEICULO A PESSOA SEM CNH/PPD/ACC,SP,AUTOMOVEL,PARTICULAR,1,11,2025
6313,CARAPICUIBA,7293-0,"UTILIZAR O PISCA-ALERTA, EXCETO EM IMOBILIZACOES OU SITUACOES DE EMERGENCIA",SP,AUTOMOVEL,PARTICULAR,15,11,2025
6359,COSMORAMA,7579-0,"REC SUB TEST, EX CLIN, PERIC OU PROC Q PERM CERT INFL ALC/SUB PSIC FOR ART. 277",SP,AUTOMOVEL,PARTICULAR,4,11,2025
6789,OSASCO,5215-2,Dirigir ameacando os demais veiculos,SP,AUTOMOVEL,PARTICULAR,3,11,2025
